MAC;SLOC Name;Time received;Time recorded;Event;Value
04C3E680FACF;Stapler 349-1;30.04.2024 22:59:47;30.04.2024 22:59:37;Battery Voltage;"3.658"
04C3E680FACF;Stapler 349-1;30.04.2024 17:00:21;30.04.2024 17:00:04;Battery Level;"80.06"
04C3E680FACF;Stapler 349-1;30.04.2024 17:00:21;30.04.2024 17:00:04;Battery Used Charge;"1395.607 mAh"
04C3E680FACF;Stapler 349-1;30.04.2024 17:00:21;30.04.2024 17:00:04;Battery Voltage;"3.648"
04C3E680FACF;Stapler 349-1;30.04.2024 05:00:20;30.04.2024 05:00:09;Battery Level;"80.75"
04C3E680FACF;Stapler 349-1;30.04.2024 05:00:20;30.04.2024 05:00:09;Battery Used Charge;"1347.356 mAh"
04C3E680FACF;Stapler 349-1;30.04.2024 05:00:20;30.04.2024 05:00:09;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;29.04.2024 22:59:47;29.04.2024 22:59:37;Battery Level;"80.76"
04C3E680FACF;Stapler 349-1;29.04.2024 22:59:47;29.04.2024 22:59:37;Battery Used Charge;"1346.522 mAh"
04C3E680FACF;Stapler 349-1;29.04.2024 22:59:47;29.04.2024 22:59:37;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;29.04.2024 17:00:16;29.04.2024 17:00:04;Battery Level;"80.8"
04C3E680FACF;Stapler 349-1;29.04.2024 17:00:16;29.04.2024 17:00:04;Battery Used Charge;"1343.956 mAh"
04C3E680FACF;Stapler 349-1;29.04.2024 17:00:16;29.04.2024 17:00:04;Battery Voltage;"3.652"
04C3E680FACF;Stapler 349-1;29.04.2024 05:00:19;29.04.2024 05:00:09;Battery Level;"81.41"
04C3E680FACF;Stapler 349-1;29.04.2024 05:00:19;29.04.2024 05:00:09;Battery Used Charge;"1301.16 mAh"
04C3E680FACF;Stapler 349-1;29.04.2024 05:00:19;29.04.2024 05:00:09;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;28.04.2024 22:59:47;28.04.2024 22:59:37;Battery Level;"81.42"
04C3E680FACF;Stapler 349-1;28.04.2024 22:59:47;28.04.2024 22:59:37;Battery Used Charge;"1300.305 mAh"
04C3E680FACF;Stapler 349-1;28.04.2024 22:59:47;28.04.2024 22:59:37;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;28.04.2024 17:00:14;28.04.2024 17:00:04;Battery Level;"81.44"
04C3E680FACF;Stapler 349-1;28.04.2024 17:00:14;28.04.2024 17:00:04;Battery Used Charge;"1299.354 mAh"
04C3E680FACF;Stapler 349-1;28.04.2024 17:00:14;28.04.2024 17:00:04;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;28.04.2024 05:00:20;28.04.2024 05:00:09;Battery Level;"81.46"
04C3E680FACF;Stapler 349-1;28.04.2024 05:00:20;28.04.2024 05:00:09;Battery Used Charge;"1298.1 mAh"
04C3E680FACF;Stapler 349-1;28.04.2024 05:00:20;28.04.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;27.04.2024 22:59:52;27.04.2024 22:59:37;Battery Level;"81.47"
04C3E680FACF;Stapler 349-1;27.04.2024 22:59:52;27.04.2024 22:59:37;Battery Used Charge;"1297.034 mAh"
04C3E680FACF;Stapler 349-1;27.04.2024 22:59:52;27.04.2024 22:59:37;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;27.04.2024 17:00:13;27.04.2024 17:00:04;Battery Level;"81.48"
04C3E680FACF;Stapler 349-1;27.04.2024 17:00:13;27.04.2024 17:00:04;Battery Used Charge;"1296.19 mAh"
04C3E680FACF;Stapler 349-1;27.04.2024 17:00:13;27.04.2024 17:00:04;Battery Voltage;"3.666"
04C3E680FACF;Stapler 349-1;27.04.2024 05:00:19;27.04.2024 05:00:09;Battery Level;"81.5"
04C3E680FACF;Stapler 349-1;27.04.2024 05:00:19;27.04.2024 05:00:09;Battery Used Charge;"1294.947 mAh"
04C3E680FACF;Stapler 349-1;27.04.2024 05:00:19;27.04.2024 05:00:09;Battery Voltage;"3.660"
04C3E680FACF;Stapler 349-1;26.04.2024 23:00:03;26.04.2024 22:59:37;Battery Level;"81.51"
04C3E680FACF;Stapler 349-1;26.04.2024 23:00:03;26.04.2024 22:59:37;Battery Used Charge;"1293.417 mAh"
04C3E680FACF;Stapler 349-1;26.04.2024 23:00:03;26.04.2024 22:59:37;Battery Voltage;"3.660"
04C3E680FACF;Stapler 349-1;26.04.2024 17:00:20;26.04.2024 17:00:04;Battery Level;"81.58"
04C3E680FACF;Stapler 349-1;26.04.2024 17:00:20;26.04.2024 17:00:04;Battery Used Charge;"1289.001 mAh"
04C3E680FACF;Stapler 349-1;26.04.2024 17:00:20;26.04.2024 17:00:04;Battery Voltage;"3.652"
04C3E680FACF;Stapler 349-1;26.04.2024 05:00:18;26.04.2024 05:00:09;Battery Level;"82.2"
04C3E680FACF;Stapler 349-1;26.04.2024 05:00:18;26.04.2024 05:00:09;Battery Used Charge;"1246.006 mAh"
04C3E680FACF;Stapler 349-1;26.04.2024 05:00:18;26.04.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;25.04.2024 22:59:47;25.04.2024 22:59:37;Battery Level;"82.21"
04C3E680FACF;Stapler 349-1;25.04.2024 22:59:47;25.04.2024 22:59:37;Battery Used Charge;"1245.197 mAh"
04C3E680FACF;Stapler 349-1;25.04.2024 22:59:47;25.04.2024 22:59:37;Battery Voltage;"3.660"
04C3E680FACF;Stapler 349-1;25.04.2024 17:00:17;25.04.2024 17:00:04;Battery Level;"82.26"
04C3E680FACF;Stapler 349-1;25.04.2024 17:00:17;25.04.2024 17:00:04;Battery Used Charge;"1241.882 mAh"
04C3E680FACF;Stapler 349-1;25.04.2024 17:00:17;25.04.2024 17:00:04;Battery Voltage;"3.650"
04C3E680FACF;Stapler 349-1;25.04.2024 05:00:19;25.04.2024 05:00:09;Battery Level;"82.92"
04C3E680FACF;Stapler 349-1;25.04.2024 05:00:19;25.04.2024 05:00:09;Battery Used Charge;"1195.854 mAh"
04C3E680FACF;Stapler 349-1;25.04.2024 05:00:19;25.04.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;24.04.2024 22:59:46;24.04.2024 22:59:37;Battery Level;"82.93"
04C3E680FACF;Stapler 349-1;24.04.2024 22:59:46;24.04.2024 22:59:37;Battery Used Charge;"1195.027 mAh"
04C3E680FACF;Stapler 349-1;24.04.2024 22:59:46;24.04.2024 22:59:37;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;24.04.2024 17:00:20;24.04.2024 17:00:05;Battery Level;"82.98"
04C3E680FACF;Stapler 349-1;24.04.2024 17:00:20;24.04.2024 17:00:05;Battery Used Charge;"1191.077 mAh"
04C3E680FACF;Stapler 349-1;24.04.2024 17:00:20;24.04.2024 17:00:05;Battery Voltage;"3.650"
04C3E680FACF;Stapler 349-1;24.04.2024 05:00:19;24.04.2024 05:00:09;Battery Level;"83.65"
04C3E680FACF;Stapler 349-1;24.04.2024 05:00:19;24.04.2024 05:00:09;Battery Used Charge;"1144.41 mAh"
04C3E680FACF;Stapler 349-1;24.04.2024 05:00:19;24.04.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;23.04.2024 22:59:47;23.04.2024 22:59:37;Battery Level;"83.66"
04C3E680FACF;Stapler 349-1;23.04.2024 22:59:47;23.04.2024 22:59:37;Battery Used Charge;"1143.541 mAh"
04C3E680FACF;Stapler 349-1;23.04.2024 22:59:47;23.04.2024 22:59:37;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;23.04.2024 17:00:18;23.04.2024 17:00:04;Battery Level;"83.72"
04C3E680FACF;Stapler 349-1;23.04.2024 17:00:18;23.04.2024 17:00:04;Battery Used Charge;"1139.815 mAh"
04C3E680FACF;Stapler 349-1;23.04.2024 17:00:18;23.04.2024 17:00:04;Battery Voltage;"3.650"
04C3E680FACF;Stapler 349-1;23.04.2024 05:00:20;23.04.2024 05:00:09;Battery Level;"84.35"
04C3E680FACF;Stapler 349-1;23.04.2024 05:00:20;23.04.2024 05:00:09;Battery Used Charge;"1095.581 mAh"
